2024-11-08 11:49:57.676452	https://www.encodeproject.org/report/?type=Experiment&control_type%21=%2A&perturbed=false&assay_title=long+read+RNA-seq&replicates.library.biosample.donor.organism.scientific_name=Homo+sapiens&biosample_ontology.classification=tissue&biosample_ontology.classification=primary+cell&limit=all
ID	Accession	Assay name	Assay title	Biosample classification	Target	Target of assay	Target gene symbol	Biosample summary	Biosample term name	Dbxrefs	Description	Lab	Project	Status	Files	Related series	Biosample accession	Biological replicate	Technical replicate	Linked antibody	Organism	Life stage	Biosample age	Biosample treatment	Biosample treatment ontology ID	Biosample treatment amount	Biosample treatment amount units	Biosample treatment duration	Biosample treatment duration units	Synchronization	Post-synchronization time	Post-synchronization time units	Biosample modification site target organism	Biosample modification site introduced gene organism	Replicates	Mixed biosamples	Cellular component	Library construction platform	Library construction method
/experiments/ENCSR136VYG/	ENCSR136VYG	long read RNA-seq	long read RNA-seq	tissue				Homo sapiens muscle of leg tissue male embryo (96 days)	muscle of leg			John Stamatoyannopoulos, UW	ENCODE	in progress	/files/ENCFF559IKS/,/files/ENCFF454ZLI/		ENCBS126LYC	1	1		Homo sapiens	embryonic	96 days												/replicates/ff19e593-0cb6-4d31-9566-c3f5548cdaff/				
/experiments/ENCSR861YGQ/	ENCSR861YGQ	long read RNA-seq	long read RNA-seq	tissue				Homo sapiens thymus tissue female embryo (98 days)	thymus			John Stamatoyannopoulos, UW	ENCODE	in progress	/files/ENCFF274MKW/,/files/ENCFF573ATI/		ENCBS442ILA	1	1		Homo sapiens	embryonic	98 days												/replicates/4f99253f-316c-45c2-9f42-dd76a23ec175/				
/experiments/ENCSR592OXC/	ENCSR592OXC	long read RNA-seq	long read RNA-seq	tissue				Homo sapiens right kidney tissue female embryo (117 days)	right kidney			John Stamatoyannopoulos, UW	ENCODE	in progress	/files/ENCFF181BGP/,/files/ENCFF143KMY/		ENCBS669GZU	1	1		Homo sapiens	embryonic	117 days												/replicates/f0cfa7b6-1cb3-4444-a0c7-3b31c4a33672/				
/experiments/ENCSR032UWN/	ENCSR032UWN	long read RNA-seq	long read RNA-seq	tissue				Homo sapiens muscle of leg tissue male embryo (101 days)	muscle of leg			John Stamatoyannopoulos, UW	ENCODE	in progress	/files/ENCFF058USV/,/files/ENCFF950FJR/		ENCBS545VWB	1	1		Homo sapiens	embryonic	101 days												/replicates/5cb150f8-2450-4d1a-8748-fdc5f37c9bd0/				
/experiments/ENCSR588HDZ/	ENCSR588HDZ	long read RNA-seq	long read RNA-seq	tissue				Homo sapiens right lung tissue female embryo (108 days)	right lung			John Stamatoyannopoulos, UW	ENCODE	in progress	/files/ENCFF889EKS/,/files/ENCFF771CFB/		ENCBS860RVH	1	1		Homo sapiens	embryonic	108 days												/replicates/9a8adb4d-07e2-41f9-b146-82b2002507fa/				
/experiments/ENCSR261AYY/	ENCSR261AYY	long read RNA-seq	long read RNA-seq	tissue				Homo sapiens renal cortex interstitium tissue male embryo (105 days)	renal cortex interstitium			John Stamatoyannopoulos, UW	ENCODE	in progress	/files/ENCFF823XAV/,/files/ENCFF122YVL/		ENCBS029BOW	1	1		Homo sapiens	embryonic	105 days												/replicates/541f8b82-dbaa-4283-8348-c19f8c8f73ae/				
/experiments/ENCSR563FHI/	ENCSR563FHI	long read RNA-seq	long read RNA-seq	tissue				Homo sapiens brain tissue male adult	brain			Roderic Guigo, CRG	community	in progress	/files/ENCFF752BHX/		ENCBS465WGG	1	1		Homo sapiens	adult													/replicates/e9d3d6a3-fb90-4863-ab6f-b5c268458e9f/				CapTrap
/experiments/ENCSR000OEW/	ENCSR000OEW	long read RNA-seq	long read RNA-seq	tissue				Homo sapiens small intestine tissue female embryo (110 days)	small intestine			John Stamatoyannopoulos, UW	ENCODE	in progress	/files/ENCFF073ORM/,/files/ENCFF089QPB/		ENCBS587DFP	1	1		Homo sapiens	embryonic	110 days												/replicates/bf1928c6-fe91-4840-adb8-c86cd29db6d1/				
/experiments/ENCSR736GCG/	ENCSR736GCG	long read RNA-seq	long read RNA-seq	tissue				Homo sapiens thymus tissue male embryo (113 days)	thymus			John Stamatoyannopoulos, UW	ENCODE	in progress	/files/ENCFF370MCJ/,/files/ENCFF019TGE/		ENCBS998SRS	1	1		Homo sapiens	embryonic	113 days												/replicates/8e89850b-e9aa-4ea6-9c50-c80584f388e3/				
/experiments/ENCSR759MRC/	ENCSR759MRC	long read RNA-seq	long read RNA-seq	tissue				Homo sapiens muscle of arm tissue male embryo (96 days)	muscle of arm			John Stamatoyannopoulos, UW	ENCODE	in progress	/files/ENCFF414OZR/,/files/ENCFF138CIP/		ENCBS182IQI	1	1		Homo sapiens	embryonic	96 days												/replicates/75078b99-e9ce-4018-b657-95dac333321f/				
